_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,-21,0,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M10,1,0.45
1,0,-5.2,0,hsa05150,Staphylococcus aureus infection,M10,1,0.34
0,1,0,-10,hsa04940,Type I diabetes mellitus ,M01,1,0.41
0,1,0,-2.4,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,M01,1,0.2
0,1,0,-2.4,R-HSA-156581,Methylation,M01,1,0.21
0,1,0,-10,ko04940,Type I diabetes mellitus,M01,1,0.41
1,0,-2.3,0,R-HSA-1614635,Sulfur amino acid metabolism,M10,1,0.2
1,0,-2.6,0,R-HSA-194068,Bile acid and bile salt metabolism,M10,1,0.22
1,0,-2.6,0,R-HSA-157858,Gap junction trafficking and regulation,M10,1,0.22
0,1,0,-2.4,hsa04071,Sphingolipid signaling pathway,M01,1,0.2
1,0,-2.5,0,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M10,1,0.22
1,0,-2.6,0,ko01522,Endocrine resistance,M10,1,0.22
1,0,-3.5,0,R-HSA-9006931,Signaling by Nuclear Receptors,M10,1,0.28
1,0,-2.2,0,ko04925,Aldosterone synthesis and secretion,M10,1,0.19
0,1,0,-17,ko04660,T cell receptor signaling pathway,M01,1,0.44
0,1,0,-5.4,R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,M01,1,0.34
0,1,0,-3.4,R-HSA-6807004,Negative regulation of MET activity,M01,1,0.27
0,1,0,-2.8,hsa04720,Long-term potentiation ,M01,1,0.24
1,0,-2.9,0,ko00260,"Glycine, serine and threonine metabolism",M10,1,0.24
1,0,-3.2,0,R-HSA-445095,Interaction between L1 and Ankyrins,M10,1,0.26
0,1,0,-10,ko04062,Chemokine signaling pathway,M01,1,0.41
1,0,-14,0,R-HSA-397014,Muscle contraction,M10,1,0.43
0,1,0,-2.5,R-HSA-140342,Apoptosis induced DNA fragmentation,M01,1,0.22
1,0,-21,0,R-HSA-927802,Nonsense-Mediated Decay (NMD),M10,1,0.45
0,1,0,-3.7,R-HSA-4086398,Ca2+ pathway,M01,1,0.29
0,1,0,-2.4,ko05145,Toxoplasmosis,M01,1,0.21
0,1,0,-2.1,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,M01,1,0.18
1,0,-2.4,0,R-HSA-1483206,Glycerophospholipid biosynthesis,M10,1,0.21
1,0,-2.7,0,R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,M10,1,0.23
1,0,-2.9,0,hsa00260,"Glycine, serine and threonine metabolism ",M10,1,0.24
0,1,0,-2.2,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,M01,1,0.19
0,1,0,-4.4,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,M01,1,0.31
0,1,0,-3,R-HSA-9656223,Signaling by RAF1 mutants,M01,1,0.25
0,1,0,-2.9,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,M01,1,0.24
1,0,-9.8,0,R-HSA-156580,Phase II - Conjugation of compounds,M10,1,0.41
1,0,-7.9,0,R-HSA-556833,Metabolism of lipids,M10,1,0.39
1,0,-10,0,hsa05204,Chemical carcinogenesis,M10,1,0.41
1,0,-6.2,0,R-HSA-1566948,Elastic fibre formation,M10,1,0.36
0,1,0,-4.9,R-HSA-5627123,RHO GTPases activate PAKs,M01,1,0.33
0,1,0,-2.3,R-HSA-9604323,Negative regulation of NOTCH4 signaling,M01,1,0.2
0,1,0,-5.7,R-HSA-6783783,Interleukin-10 signaling,M01,1,0.35
0,1,0,-3.4,R-HSA-9697154,Disorders of Nervous System Development,M01,1,0.27
1,0,-2.1,0,R-HSA-1482925,Acyl chain remodelling of PG,M10,1,0.18
0,1,0,-3.6,ko04623,Cytosolic DNA-sensing pathway,M01,1,0.28
1,0,-2.8,0,R-HSA-193648,NRAGE signals death through JNK,M10,1,0.24
1,0,-5.9,0,hsa05414,Dilated cardiomyopathy ,M10,1,0.35
0,1,0,-4.1,R-HSA-112409,RAF-independent MAPK1/3 activation,M01,1,0.3
0,1,0,-6.2,R-HSA-199991,Membrane Trafficking,M01,1,0.36
1,0,-2.5,0,R-HSA-1963642,PI3K events in ERBB2 signaling,M10,1,0.21
0,1,0,-17,ko04060,Cytokine-cytokine receptor interaction,M01,1,0.44
1,0,-2.7,0,R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,M10,1,0.23
1,0,-2.8,0,ko00561,Glycerolipid metabolism,M10,1,0.24
1,0,-3.8,0,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,M10,1,0.29
1,0,-14,0,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,M10,1,0.43
1,0,-5.1,0,R-HSA-186797,Signaling by PDGF,M10,1,0.34
1,0,-3.9,0,R-HSA-419037,NCAM1 interactions,M10,1,0.29
0,1,0,-12,R-HSA-388396,GPCR downstream signalling,M01,1,0.42
1,0,-2.2,0,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,M10,1,0.18
1,0,-2.8,0,hsa00830,Retinol metabolism ,M10,1,0.24
0,1,0,-3.9,hsa04114,Oocyte meiosis ,M01,1,0.3
1,0,-2.4,0,M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",M10,1,0.21
0,1,0,-3.4,R-HSA-4420097,VEGFA-VEGFR2 Pathway,M01,1,0.27
0,1,0,-2.1,R-HSA-9664424,Cell recruitment (pro-inflammatory response),M01,1,0.18
0,1,0,-2.7,R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,M01,1,0.23
1,0,-6,0,hsa03320,PPAR signaling pathway ,M10,1,0.36
1,0,-2.3,0,ko04930,Type II diabetes mellitus,M10,1,0.2
0,1,0,-2.2,R-HSA-429947,Deadenylation of mRNA,M01,1,0.19
1,0,-3.4,0,ko04261,Adrenergic signaling in cardiomyocytes,M10,1,0.27
1,0,-6,0,ko04310,Wnt signaling pathway,M10,1,0.36
1,0,-2.2,0,ko05217,Basal cell carcinoma,M10,1,0.18
1,0,-4.8,0,hsa00565,Ether lipid metabolism ,M10,1,0.33
1,0,-3.3,0,R-HSA-9664420,Killing mechanisms,M10,1,0.27
0,1,0,-3,hsa05100,Bacterial invasion of epithelial cells,M01,1,0.25
1,0,-5.1,0,R-HSA-5576891,Cardiac conduction,M10,1,0.34
0,1,0,-2.7,R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,M01,1,0.23
1,0,-3.1,0,R-HSA-5083625,Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC),M10,1,0.26
0,1,0,-2.3,R-HSA-2214320,Anchoring fibril formation,M01,1,0.2
1,0,-2.7,0,hsa04919,thyroid hormone signaling pathway,M10,1,0.23
1,0,-2,0,hsa01523,Antifolate resistance,M10,1,0.17
0,1,0,-3.2,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,M01,1,0.26
1,0,-2.4,0,hsa_M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",M10,1,0.2
1,0,-2.2,0,ko05120,Epithelial cell signaling in Helicobacter pylori infection,M10,1,0.19
1,0,-2.7,0,hsa04910,Insulin signaling pathway ,M10,1,0.23
0,1,0,-2.2,R-HSA-391160,Signal regulatory protein family interactions,M01,1,0.18
1,0,-2.6,0,ko00564,Glycerophospholipid metabolism,M10,1,0.23
0,1,0,-12,R-HSA-202403,TCR signaling,M01,1,0.42
0,1,0,-7.8,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,M01,1,0.39
1,0,-2,0,R-HSA-2029485,Role of phospholipids in phagocytosis,M10,1,0.17
0,1,0,-2.4,R-HSA-442720,CREB1 phosphorylation through the activation of Adenylate Cyclase,M01,1,0.21
1,0,-2.3,0,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",M10,1,0.2
1,0,-2.1,0,R-HSA-948021,Transport to the Golgi and subsequent modification,M10,1,0.17
0,1,0,-6.1,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,M01,1,0.36
1,0,-2.9,0,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",M10,1,0.24
1,0,-3,0,R-HSA-1227986,Signaling by ERBB2,M10,1,0.25
