Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,ko04540,Gap junction,,-2.7,2.1,3.3,28162,88,2791,18,0.64,0.15,111|1902|1950|1956|2983|5156|5159|5332|6714|7082|7280|7846|10381|10382|23236|80310|203068|347733,ADCY5|LPAR1|EGF|EGFR|GUCY1B1|PDGFRA|PDGFRB|PLCB4|SRC|TJP1|TUBB2A|TUBA1A|TUBB3|TUBB4A|PLCB1|PDGFD|TUBB|TUBB2B,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-9658195,Leishmania infection,,-2.6,1.6,3.1,28162,254,2791,40,1.4,0.22,25|111|117|351|718|799|1395|1856|1857|2209|2212|2214|2268|2687|2781|2788|2843|3055|3162|3569|3725|4620|5335|5443|5599|5745|5746|6714|6850|7474|8324|8976|9332|10152|10458|10787|10810|51517|53831|79651,ABL1|ADCY5|ADCYAP1R1|APP|C3|CALCR|CRHR2|DVL2|DVL3|FCGR1A|FCGR2A|FCGR3A|FGR|GGT5|GNAZ|GNG7|GPR20|HCK|HMOX1|IL6|JUN|MYH2|PLCG1|POMC|MAPK8|PTH1R|PTH2R|SRC|SYK|WNT5A|FZD7|WASL|CD163|ABI2|BAIAP2|NCKAP1|WASF3|NCKIPSD|GPR84|RHBDF2,-1.9,LN_meta
KEGG Pathway,24,ko00564,Glycerophospholipid metabolism,,-2.6,2,3.3,28162,95,2791,19,0.68,0.16,43|1607|1608|5320|5322|5833|8612|8613|11145|23646|50487|55224|56985|56994|64600|79888|85465|150763|100137049,ACHE|DGKB|DGKG|PLA2G2A|PLA2G5|PCYT2|PLPP2|PLPP3|PLAAT3|PLD3|PLA2G3|ETNK2|ADPRM|CHPT1|PLA2G2F|LPCAT1|SELENOI|GPAT2|PLA2G4B,-1.9,LN_meta
KEGG Pathway,24,hsa00564,Glycerophospholipid metabolism ,,-2.6,2,3.3,28162,95,2791,19,0.68,0.16,43|1607|1608|5320|5322|5833|8612|8613|11145|23646|50487|55224|56985|56994|64600|79888|85465|150763|100137049,ACHE|DGKB|DGKG|PLA2G2A|PLA2G5|PCYT2|PLPP2|PLPP3|PLAAT3|PLD3|PLA2G3|ETNK2|ADPRM|CHPT1|PLA2G2F|LPCAT1|SELENOI|GPAT2|PLA2G4B,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-2028269,Signaling by Hippo,,-2.6,3.5,3.8,28162,20,2791,7,0.25,0.095,1856|6788|7082|10413|25937|154796|261734,DVL2|STK3|TJP1|YAP1|WWTR1|AMOT|NPHP4,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-1989781,PPARA activates gene expression,,-2.6,1.9,3.2,28162,117,2791,22,0.79,0.17,51|183|948|3158|3992|4199|5468|6720|6837|7296|9612|9915|10062|10891|23179|23389|29841|50486|51129|55090|57761|376497,ACOX1|AGT|CD36|HMGCS2|FADS1|ME1|PPARG|SREBF1|MED22|TXNRD1|NCOR2|ARNT2|NR1H3|PPARGC1A|RGL1|MED13L|GRHL1|G0S2|ANGPTL4|MED9|TRIB3|SLC27A1,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-157858,Gap junction trafficking and regulation,,-2.6,2.5,3.4,28162,49,2791,12,0.43,0.12,1211|1601|1759|2701|6714|7082|7280|7846|8218|10381|10382|347733,CLTA|DAB2|DNM1|GJA4|SRC|TJP1|TUBB2A|TUBA1A|CLTCL1|TUBB3|TUBB4A|TUBB2B,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,-2.6,1.8,3.2,28162,132,2791,24,0.86,0.17,718|912|947|1278|1281|2209|2213|2214|3383|5819|6614|10990|11006|11027|27180|29992|54210|56654|80329|81035|126014|339390|374383|100507436,C3|CD1D|CD34|COL1A2|COL3A1|FCGR1A|FCGR2B|FCGR3A|ICAM1|NECTIN2|SIGLEC1|LILRB5|LILRB4|LILRA2|SIGLEC9|PILRA|TREM1|NPDC1|ULBP1|COLEC12|OSCAR|CLEC4G|NCR3LG1|MICA,-1.9,LN_meta
KEGG Pathway,24,hsa01522,Endocrine resistance,,-2.6,2,3.2,28162,96,2791,19,0.68,0.16,111|208|595|1019|1565|1839|1956|2064|2099|2852|3479|3725|4853|4854|5599|5602|6300|6714|10683,ADCY5|AKT2|CCND1|CDK4|CYP2D6|HBEGF|EGFR|ERBB2|ESR1|GPER1|IGF1|JUN|NOTCH2|NOTCH3|MAPK8|MAPK10|MAPK12|SRC|DLL3,-1.9,LN_meta
KEGG Pathway,24,ko01522,Endocrine resistance,,-2.6,2,3.2,28162,96,2791,19,0.68,0.16,111|208|595|1019|1565|1839|1956|2064|2099|2852|3479|3725|4853|4854|5599|5602|6300|6714|10683,ADCY5|AKT2|CCND1|CDK4|CYP2D6|HBEGF|EGFR|ERBB2|ESR1|GPER1|IGF1|JUN|NOTCH2|NOTCH3|MAPK8|MAPK10|MAPK12|SRC|DLL3,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-3299685,Detoxification of Reactive Oxygen Species,,-2.6,2.7,3.5,28162,37,2791,10,0.36,0.11,2877|2878|2950|4688|5052|6648|6649|7296|9588|79400,GPX2|GPX3|GSTP1|NCF2|PRDX1|SOD2|SOD3|TXNRD1|PRDX6|NOX5,-1.9,LN_meta
Reactome Gene Sets,6,R-HSA-194068,Bile acid and bile salt metabolism,,-2.6,2.6,3.4,28162,43,2791,11,0.39,0.12,1109|1593|1645|1646|5740|6579|8309|8714|80270|114876|114880,AKR1C4|CYP27A1|AKR1C1|AKR1C2|PTGIS|SLCO1A2|ACOX2|ABCC3|HSD3B7|OSBPL1A|OSBPL6,-1.9,LN_meta
KEGG Pathway,24,hsa_M00047,Creatine pathway,,-2.6,5.8,4.2,28162,7,2791,4,0.14,0.072,1158|1160|2593|2628,CKM|CKMT2|GAMT|GATM,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-9032500,Activated NTRK2 signals through FYN,,-2.6,5.8,4.2,28162,7,2791,4,0.14,0.072,627|1795|4915|6714,BDNF|DOCK3|NTRK2|SRC,-1.8,LN_meta
KEGG Pathway,24,M00047,Creatine pathway,,-2.6,5.8,4.2,28162,7,2791,4,0.14,0.072,1158|1160|2593|2628,CKM|CKMT2|GAMT|GATM,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-71288,Creatine metabolism,,-2.6,4.6,3.9,28162,11,2791,5,0.18,0.08,1158|1160|2593|2628|6539,CKM|CKMT2|GAMT|GATM|SLC6A12,-1.8,LN_meta
KEGG Pathway,24,ko05218,Melanoma,,-2.6,2.2,3.3,28162,69,2791,15,0.54,0.14,208|595|1019|1950|1956|2255|2256|2258|2259|2260|3479|5156|5159|9965|80310,AKT2|CCND1|CDK4|EGF|EGFR|FGF10|FGF11|FGF13|FGF14|FGFR1|IGF1|PDGFRA|PDGFRB|FGF19|PDGFD,-1.8,LN_meta
KEGG Pathway,24,hsa05218,Melanoma ,,-2.6,2.2,3.3,28162,69,2791,15,0.54,0.14,208|595|1019|1950|1956|2255|2256|2258|2259|2260|3479|5156|5159|9965|80310,AKT2|CCND1|CDK4|EGF|EGFR|FGF10|FGF11|FGF13|FGF14|FGFR1|IGF1|PDGFRA|PDGFRB|FGF19|PDGFD,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-5578775,Ion homeostasis,,-2.6,2.3,3.3,28162,56,2791,13,0.47,0.13,444|477|845|5348|5349|5350|6263|6546|6588|7137|7220|10345|53826,ASPH|ATP1A2|CASQ2|FXYD1|FXYD3|PLN|RYR3|SLC8A1|SLN|TNNI3|TRPC1|TRDN|FXYD6,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-1227990,Signaling by ERBB2 in Cancer,,-2.6,3.1,3.6,28162,26,2791,8,0.29,0.1,1839|1950|1956|2064|2065|2549|5335|5782,HBEGF|EGF|EGFR|ERBB2|ERBB3|GAB1|PLCG1|PTPN12,-1.8,LN_meta
KEGG Pathway,24,ko05133,Pertussis,,-2.6,2.1,3.3,28162,76,2791,16,0.57,0.14,712|713|714|717|718|720|929|3569|3725|4843|5599|5602|6300|6374|7099|51806,C1QA|C1QB|C1QC|C2|C3|C4A|CD14|IL6|JUN|NOS2|MAPK8|MAPK10|MAPK12|CXCL5|TLR4|CALML5,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-193704,p75 NTR receptor-mediated signalling,,-2.5,2,3.2,28162,97,2791,19,0.68,0.16,29|3066|5599|6233|7204|8767|8878|8997|9181|9826|9828|10276|25791|27237|50649|51107|54848|55160|55701,ABR|HDAC2|MAPK8|RPS27A|TRIO|RIPK2|SQSTM1|KALRN|ARHGEF2|ARHGEF11|ARHGEF17|NET1|NGEF|ARHGEF16|ARHGEF4|APH1A|ARHGEF38|ARHGEF10L|ARHGEF40,-1.8,LN_meta
KEGG Pathway,24,ko05323,Rheumatoid arthritis,,-2.5,2,3.2,28162,90,2791,18,0.64,0.15,284|525|535|1514|2919|3111|3112|3117|3383|3569|3725|6374|6387|7043|7099|7422|8741|50617,ANGPT1|ATP6V1B1|ATP6V0A1|CTSL|CXCL1|HLA-DOA|HLA-DOB|HLA-DQA1|ICAM1|IL6|JUN|CXCL5|CXCL12|TGFB3|TLR4|VEGFA|TNFSF13|ATP6V0A4,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-73887,Death Receptor Signalling,,-2.5,1.8,3.1,28162,141,2791,25,0.9,0.18,29|3066|5599|6233|7132|7204|8767|8878|8997|9099|9181|9826|9828|10276|10399|25791|25999|27237|50649|51107|54848|55160|55701|56928|56957,ABR|HDAC2|MAPK8|RPS27A|TNFRSF1A|TRIO|RIPK2|SQSTM1|KALRN|USP2|ARHGEF2|ARHGEF11|ARHGEF17|NET1|RACK1|NGEF|CLIP3|ARHGEF16|ARHGEF4|APH1A|ARHGEF38|ARHGEF10L|ARHGEF40|SPPL2B|OTUD7B,-1.8,LN_meta
KEGG Pathway,24,ko00330,Arginine and proline metabolism,,-2.5,2.4,3.3,28162,50,2791,12,0.43,0.12,217|224|1158|1160|2593|2628|4843|4942|4953|5625|5831|54498,ALDH2|ALDH3A2|CKM|CKMT2|GAMT|GATM|NOS2|OAT|ODC1|PRODH|PYCR1|SMOX,-1.8,LN_meta
KEGG Pathway,24,hsa00330,Arginine and proline metabolism ,,-2.5,2.4,3.3,28162,50,2791,12,0.43,0.12,217|224|1158|1160|2593|2628|4843|4942|4953|5625|5831|54498,ALDH2|ALDH3A2|CKM|CKMT2|GAMT|GATM|NOS2|OAT|ODC1|PRODH|PYCR1|SMOX,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,,-2.5,1.9,3.1,28162,119,2791,22,0.79,0.17,51|183|948|3158|3992|4199|5468|6720|6837|7296|9612|9915|10062|10891|23179|23389|29841|50486|51129|55090|57761|376497,ACOX1|AGT|CD36|HMGCS2|FADS1|ME1|PPARG|SREBF1|MED22|TXNRD1|NCOR2|ARNT2|NR1H3|PPARGC1A|RGL1|MED13L|GRHL1|G0S2|ANGPTL4|MED9|TRIB3|SLC27A1,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-1963642,PI3K events in ERBB2 signaling,,-2.5,3.8,3.7,28162,16,2791,6,0.21,0.088,1839|1950|1956|2064|2065|2549,HBEGF|EGF|EGFR|ERBB2|ERBB3|GAB1,-1.8,LN_meta
KEGG Pathway,24,ko04917,Prolactin signaling pathway,,-2.5,2.2,3.2,28162,70,2791,15,0.54,0.14,208|595|1154|2001|2099|2309|2645|5599|5602|6300|6714|8835|9021|9655|122809,AKT2|CCND1|CISH|ELF5|ESR1|FOXO3|GCK|MAPK8|MAPK10|MAPK12|SRC|SOCS2|SOCS3|SOCS5|SOCS4,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",,-2.5,2.2,3.2,28162,70,2791,15,0.54,0.14,160|341|348|949|1211|3069|4023|5046|5125|5360|7436|10062|10577|51129|91289,AP2A1|APOC1|APOE|SCARB1|CLTA|HDLBP|LPL|PCSK6|PCSK5|PLTP|VLDLR|NR1H3|NPC2|ANGPTL4|LMF2,-1.8,LN_meta
KEGG Pathway,24,ko05212,Pancreatic cancer,,-2.5,2.2,3.2,28162,64,2791,14,0.5,0.13,208|595|598|1019|1950|1956|2064|4088|5599|5602|5881|7039|7043|7422,AKT2|CCND1|BCL2L1|CDK4|EGF|EGFR|ERBB2|SMAD3|MAPK8|MAPK10|RAC3|TGFA|TGFB3|VEGFA,-1.8,LN_meta
KEGG Pathway,24,hsa05212,Pancreatic cancer ,,-2.5,2.2,3.2,28162,64,2791,14,0.5,0.13,208|595|598|1019|1950|1956|2064|4088|5599|5602|5881|7039|7043|7422,AKT2|CCND1|BCL2L1|CDK4|EGF|EGFR|ERBB2|SMAD3|MAPK8|MAPK10|RAC3|TGFA|TGFB3|VEGFA,-1.8,LN_meta
Reactome Gene Sets,6,R-HSA-9026527,Activated NTRK2 signals through PLCG1,,-2.4,7.6,4.4,28162,4,2791,3,0.11,0.062,627|4915|5335,BDNF|NTRK2|PLCG1,-1.7,LN_meta
KEGG Pathway,24,M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",,-2.4,7.6,4.4,28162,4,2791,3,0.11,0.062,2539|5226|9563,G6PD|PGD|H6PD,-1.7,LN_meta
KEGG Pathway,24,hsa_M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",,-2.4,7.6,4.4,28162,4,2791,3,0.11,0.062,2539|5226|9563,G6PD|PGD|H6PD,-1.7,LN_meta
KEGG Pathway,24,hsa04911,Insulin secretion,,-2.4,2,3.1,28162,92,2791,18,0.64,0.15,111|117|468|477|775|776|2645|3782|5332|8767|9586|9699|10242|23236|54795|90993|114897|148327,ADCY5|ADCYAP1R1|ATF4|ATP1A2|CACNA1C|CACNA1D|GCK|KCNN3|PLCB4|RIPK2|CREB5|RIMS2|KCNMB2|PLCB1|TRPM4|CREB3L1|C1QTNF1|CREB3L4,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-1632852,Macroautophagy,,-2.4,1.8,3,28162,136,2791,24,0.86,0.17,1080|1780|5563|6233|6714|7249|7280|7405|7431|7846|8408|8878|9804|10381|10382|10452|23192|53632|54543|55669|60673|84749|200894|347733,CFTR|DYNC1I1|PRKAA2|RPS27A|SRC|TSC2|TUBB2A|UVRAG|VIM|TUBA1A|ULK1|SQSTM1|TOMM20|TUBB3|TUBB4A|TOMM40|ATG4B|PRKAG3|TOMM7|MFN1|ATG101|USP30|ARL13B|TUBB2B,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-166658,Complement cascade,,-2.4,2.3,3.2,28162,58,2791,13,0.47,0.13,712|713|714|717|718|720|728|729|730|1191|1675|1991|2219,C1QA|C1QB|C1QC|C2|C3|C4A|C5AR1|C6|C7|CLU|CFD|ELANE|FCN1,-1.7,LN_meta
KEGG Pathway,24,ko04670,Leukocyte transendothelial migration,,-2.4,1.9,3,28162,114,2791,21,0.75,0.16,1364|1365|1366|1500|3383|4633|4688|5335|6300|6387|7122|7414|9071|9073|23562|29119|29895|53842|83700|149461|100132463,CLDN4|CLDN3|CLDN7|CTNND1|ICAM1|MYL2|NCF2|PLCG1|MAPK12|CXCL12|CLDN5|VCL|CLDN10|CLDN8|CLDN14|CTNNA3|MYLPF|CLDN22|JAM3|CLDN19|CLDN24,-1.7,LN_meta
KEGG Pathway,24,hsa04670,Leukocyte transendothelial migration ,,-2.4,1.9,3,28162,114,2791,21,0.75,0.16,1364|1365|1366|1500|3383|4633|4688|5335|6300|6387|7122|7414|9071|9073|23562|29119|29895|53842|83700|149461|100132463,CLDN4|CLDN3|CLDN7|CTNND1|ICAM1|MYL2|NCF2|PLCG1|MAPK12|CXCL12|CLDN5|VCL|CLDN10|CLDN8|CLDN14|CTNNA3|MYLPF|CLDN22|JAM3|CLDN19|CLDN24,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-8964043,Plasma lipoprotein clearance,,-2.4,2.8,3.3,28162,33,2791,9,0.32,0.11,160|341|348|949|1211|3069|7436|10062|10577,AP2A1|APOC1|APOE|SCARB1|CLTA|HDLBP|VLDLR|NR1H3|NPC2,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-418990,Adherens junctions interactions,,-2.4,2.8,3.3,28162,33,2791,9,0.32,0.11,283|1009|1013|1500|3728|5819|57863|81607|253559,ANG|CDH11|CDH15|CTNND1|JUP|NECTIN2|CADM3|NECTIN4|CADM2,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-352230,Amino acid transport across the plasma membrane,,-2.4,2.8,3.3,28162,33,2791,9,0.32,0.11,6539|6542|8501|9056|11254|23657|123096|124935|206358,SLC6A12|SLC7A2|SLC43A1|SLC7A7|SLC6A14|SLC7A11|SLC25A29|SLC43A2|SLC36A1,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-112315,Transmission across Chemical Synapses,,-2.4,1.5,2.9,28162,270,2791,41,1.5,0.23,43|88|111|160|217|781|785|1134|1136|1143|1144|1742|2550|2788|2903|5563|6512|6529|6539|6714|6812|6857|7102|7280|7846|8497|8500|8825|9463|9647|10381|10382|10497|23236|26960|27165|53632|55879|80852|84254|347733,ACHE|ACTN2|ADCY5|AP2A1|ALDH2|CACNA2D1|CACNB4|CHRNA1|CHRNA3|CHRNB4|CHRND|DLG4|GABBR1|GNG7|GRIN2A|PRKAA2|SLC1A7|SLC6A1|SLC6A12|SRC|STXBP1|SYT1|TSPAN7|TUBB2A|TUBA1A|PPFIA4|PPFIA1|LIN7A|PICK1|PPM1F|TUBB3|TUBB4A|UNC13B|PLCB1|NBEA|GLS2|PRKAG3|GABRQ|GRIP2|CAMKK1|TUBB2B,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-1483206,Glycerophospholipid biosynthesis,,-2.4,1.8,3,28162,129,2791,23,0.82,0.17,43|5320|5322|5833|10809|11145|11343|23646|50487|54979|55224|56994|63874|64600|79887|79888|80339|80736|84895|85465|150763|200879|100137049,ACHE|PLA2G2A|PLA2G5|PCYT2|STARD10|PLAAT3|MGLL|PLD3|PLA2G3|PLAAT2|ETNK2|CHPT1|ABHD4|PLA2G2F|PLBD1|LPCAT1|PNPLA3|SLC44A4|MIGA2|SELENOI|GPAT2|LIPH|PLA2G4B,-1.7,LN_meta
KEGG Pathway,24,hsa05142,Chagas disease (American trypanosomiasis),,-2.4,1.9,3,28162,107,2791,20,0.72,0.16,208|712|713|714|718|1636|2194|3460|3569|3725|4088|4843|5332|5599|5602|6300|7043|7099|7132|23236,AKT2|C1QA|C1QB|C1QC|C3|ACE|FASN|IFNGR2|IL6|JUN|SMAD3|NOS2|PLCB4|MAPK8|MAPK10|MAPK12|TGFB3|TLR4|TNFRSF1A|PLCB1,-1.7,LN_meta
KEGG Pathway,24,ko05230,Central carbon metabolism in cancer,,-2.4,2.2,3.1,28162,65,2791,14,0.5,0.13,208|1956|2064|2260|2539|2645|3101|4609|4916|5156|5159|5213|9123|27165,AKT2|EGFR|ERBB2|FGFR1|G6PD|GCK|HK3|MYC|NTRK3|PDGFRA|PDGFRB|PFKM|SLC16A3|GLS2,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,,-2.4,4.2,3.7,28162,12,2791,5,0.18,0.08,291|2030|3177|64078|222962,SLC25A4|SLC29A1|SLC29A2|SLC28A3|SLC29A4,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-2024096,HS-GAG degradation,,-2.4,3.2,3.4,28162,22,2791,7,0.25,0.095,2239|2719|2817|3339|6383|6448|10082,GPC4|GPC3|GPC1|HSPG2|SDC2|SGSH|GPC6,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-1250196,SHC1 events in ERBB2 signaling,,-2.4,3.2,3.4,28162,22,2791,7,0.25,0.095,1839|1950|1956|2064|2065|5580|5782,HBEGF|EGF|EGFR|ERBB2|ERBB3|PRKCD|PTPN12,-1.7,LN_meta
KEGG Pathway,24,hsa_M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",,-2.4,3.2,3.4,28162,22,2791,7,0.25,0.095,5332|5333|5335|8394|8395|23236|51196,PLCB4|PLCD1|PLCG1|PIP5K1A|PIP5K1B|PLCB1|PLCE1,-1.7,LN_meta
KEGG Pathway,24,M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",,-2.4,3.2,3.4,28162,22,2791,7,0.25,0.095,5332|5333|5335|8394|8395|23236|51196,PLCB4|PLCD1|PLCG1|PIP5K1A|PIP5K1B|PLCB1|PLCE1,-1.7,LN_meta
KEGG Pathway,24,ko04010,MAPK signaling pathway,,-2.4,1.5,2.9,28162,255,2791,39,1.4,0.22,208|468|627|775|776|781|785|929|1845|1950|1956|2255|2256|2258|2259|2260|2264|2318|3303|3310|3725|4609|4915|5156|5159|5599|5602|5881|6300|6788|7043|7132|8491|8912|9479|9965|10912|51295|100137049,AKT2|ATF4|BDNF|CACNA1C|CACNA1D|CACNA2D1|CACNB4|CD14|DUSP3|EGF|EGFR|FGF10|FGF11|FGF13|FGF14|FGFR1|FGFR4|FLNC|HSPA1A|HSPA6|JUN|MYC|NTRK2|PDGFRA|PDGFRB|MAPK8|MAPK10|RAC3|MAPK12|STK3|TGFB3|TNFRSF1A|MAP4K3|CACNA1H|MAPK8IP1|FGF19|GADD45G|ECSIT|PLA2G4B,-1.7,LN_meta
KEGG Pathway,24,hsa04010,MAPK signaling pathway ,,-2.4,1.5,2.9,28162,255,2791,39,1.4,0.22,208|468|627|775|776|781|785|929|1845|1950|1956|2255|2256|2258|2259|2260|2264|2318|3303|3310|3725|4609|4915|5156|5159|5599|5602|5881|6300|6788|7043|7132|8491|8912|9479|9965|10912|51295|100137049,AKT2|ATF4|BDNF|CACNA1C|CACNA1D|CACNA2D1|CACNB4|CD14|DUSP3|EGF|EGFR|FGF10|FGF11|FGF13|FGF14|FGFR1|FGFR4|FLNC|HSPA1A|HSPA6|JUN|MYC|NTRK2|PDGFRA|PDGFRB|MAPK8|MAPK10|RAC3|MAPK12|STK3|TGFB3|TNFRSF1A|MAP4K3|CACNA1H|MAPK8IP1|FGF19|GADD45G|ECSIT|PLA2G4B,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-180292,GAB1 signalosome,,-2.4,3.6,3.5,28162,17,2791,6,0.21,0.088,1839|1950|1956|2549|6714|7039,HBEGF|EGF|EGFR|GAB1|SRC|TGFA,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-196757,Metabolism of folate and pterines,,-2.4,3.6,3.5,28162,17,2791,6,0.21,0.088,6573|10797|10840|113235|160428|441024,SLC19A1|MTHFD2|ALDH1L1|SLC46A1|ALDH1L2|MTHFD2L,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-9664422,FCGR3A-mediated phagocytosis,,-2.3,2.2,3.1,28162,59,2791,13,0.47,0.13,25|2214|2268|3055|4620|6714|6850|8976|10152|10458|10787|10810|51517,ABL1|FCGR3A|FGR|HCK|MYH2|SRC|SYK|WASL|ABI2|BAIAP2|NCKAP1|WASF3|NCKIPSD,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-9664417,Leishmania phagocytosis,,-2.3,2.2,3.1,28162,59,2791,13,0.47,0.13,25|2214|2268|3055|4620|6714|6850|8976|10152|10458|10787|10810|51517,ABL1|FCGR3A|FGR|HCK|MYH2|SRC|SYK|WASL|ABI2|BAIAP2|NCKAP1|WASF3|NCKIPSD,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-9664407,Parasite infection,,-2.3,2.2,3.1,28162,59,2791,13,0.47,0.13,25|2214|2268|3055|4620|6714|6850|8976|10152|10458|10787|10810|51517,ABL1|FCGR3A|FGR|HCK|MYH2|SRC|SYK|WASL|ABI2|BAIAP2|NCKAP1|WASF3|NCKIPSD,-1.7,LN_meta
KEGG Pathway,24,ko04930,Type II diabetes mellitus,,-2.3,2.4,3.2,28162,46,2791,11,0.39,0.12,775|776|2645|3101|3643|5580|5599|5602|8835|9021|122809,CACNA1C|CACNA1D|GCK|HK3|INSR|PRKCD|MAPK8|MAPK10|SOCS2|SOCS3|SOCS4,-1.7,LN_meta
KEGG Pathway,24,hsa04930,Type II diabetes mellitus ,,-2.3,2.4,3.2,28162,46,2791,11,0.39,0.12,775|776|2645|3101|3643|5580|5599|5602|8835|9021|122809,CACNA1C|CACNA1D|GCK|HK3|INSR|PRKCD|MAPK8|MAPK10|SOCS2|SOCS3|SOCS4,-1.7,LN_meta
KEGG Pathway,24,ko05166,HTLV-I infection,,-2.3,1.5,2.9,28162,256,2791,39,1.4,0.22,111|208|291|467|468|595|598|1019|1030|1856|1857|3111|3112|3117|3383|3569|3725|4055|4088|4609|4776|5156|5159|5599|6688|7043|7132|7474|7481|7483|7494|8061|8324|8829|11211|23373|51434|64784|81029,ADCY5|AKT2|SLC25A4|ATF3|ATF4|CCND1|BCL2L1|CDK4|CDKN2B|DVL2|DVL3|HLA-DOA|HLA-DOB|HLA-DQA1|ICAM1|IL6|JUN|LTBR|SMAD3|MYC|NFATC4|PDGFRA|PDGFRB|MAPK8|SPI1|TGFB3|TNFRSF1A|WNT5A|WNT11|WNT9A|XBP1|FOSL1|FZD7|NRP1|FZD10|CRTC1|ANAPC7|CRTC3|WNT5B,-1.7,LN_meta
KEGG Pathway,24,hsa05166,HTLV-I infection,,-2.3,1.5,2.9,28162,256,2791,39,1.4,0.22,111|208|291|467|468|595|598|1019|1030|1856|1857|3111|3112|3117|3383|3569|3725|4055|4088|4609|4776|5156|5159|5599|6688|7043|7132|7474|7481|7483|7494|8061|8324|8829|11211|23373|51434|64784|81029,ADCY5|AKT2|SLC25A4|ATF3|ATF4|CCND1|BCL2L1|CDK4|CDKN2B|DVL2|DVL3|HLA-DOA|HLA-DOB|HLA-DQA1|ICAM1|IL6|JUN|LTBR|SMAD3|MYC|NFATC4|PDGFRA|PDGFRB|MAPK8|SPI1|TGFB3|TNFRSF1A|WNT5A|WNT11|WNT9A|XBP1|FOSL1|FZD7|NRP1|FZD10|CRTC1|ANAPC7|CRTC3|WNT5B,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-1482788,Acyl chain remodelling of PC,,-2.3,2.9,3.3,28162,28,2791,8,0.29,0.1,5320|5322|11145|50487|64600|79887|79888|100137049,PLA2G2A|PLA2G5|PLAAT3|PLA2G3|PLA2G2F|PLBD1|LPCAT1|PLA2G4B,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-1614635,Sulfur amino acid metabolism,,-2.3,2.9,3.3,28162,28,2791,8,0.29,0.1,635|875|1036|1468|4357|4507|7263|58478,BHMT|CBS|CDO1|SLC25A10|MPST|MTAP|TST|ENOPH1,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,,-2.3,2.9,3.3,28162,28,2791,8,0.29,0.1,1605|3066|3908|5376|7003|10413|25937|57716,DAG1|HDAC2|LAMA2|PMP22|TEAD1|YAP1|WWTR1|PRX,-1.7,LN_meta
Reactome Gene Sets,6,R-HSA-445355,Smooth Muscle Contraction,,-2.3,2.5,3.2,28162,40,2791,10,0.36,0.11,859|2983|4629|7168|7169|7414|10174|25802|29895|140465,CAV3|GUCY1B1|MYH11|TPM1|TPM2|VCL|SORBS3|LMOD1|MYLPF|MYL6B,-1.7,LN_meta
